"Table 1.1--2004, Individual Income Tax Returns, Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",,,,,,,,,, ,,,,,,,,,,
(All figures are estimates based on samples--money amounts are in thousands of dollars except as indicated),,,,,,,,,, ,,,,,,,,,,
,All returns,,,,,Taxable returns,,,,Taxable returns--continued,,,,,,,,,,
Size and accumulated size,,,Adjusted gross,,,,,Adjusted gross,,Taxable income,,,Income tax after credits,,,Total income tax,,,,
of adjusted gross income,Number,Percent,income less deficit,,,Number,Percent,income less deficit,,Number of,Amount,Percentage of,Number of,Amount,Percentage of,Amount,Percentage of,,,Average
,of returns,of total,Amount,Percent,Average,of returns,of total,Amount,Percent,returns,,total,returns,,total,,Total,Taxable,Adjusted gross,income tax
,,,,of total,(dollars),,,,of total,,,,,,,,,income,income less deficit,(dollars)
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20)
Size of Adjusted Gross Income,,,,,,,,,,,,,,,,,,,,
Total*.,"132,226,042    ",100.0         ,"6,788,805,130    ",100.0         ,"51,342      ","89,101,934    ",100.0         ,"6,265,500,376    ",100.0         ,"89,085,918     ","4,561,930,225   ",100.0         ,"89,101,934     ","831,975,834    ",100.0         ,"831,976,333    ",100.0         ,18.2          ,13.3          ,"9,337        "
No adjusted gross income*.,"1,854,886    ",1.4         ,"-86,318,215    ",[2]         ,"-46,536      ","4,556    ",[2]         ,"-6,536,163    ",[1]         ,--     ,--   ,--         ,"4,556     ","86,064    ",[2]         ,"86,064    ",[2]         ,[1]          ,[1]          ,"18,890        "
"$1 under $5,000*.","11,670,444    ",8.8         ,"31,096,322    ",0.5         ,"2,665      ","753,517    ",0.8         ,"2,042,475    ",[2]         ,"753,472     ","634,863   ",[2]         ,"753,517   ","55,075   ",[2]         ,"55,075   ",[2]         ,8.7          ,2.7          ,73        
