"Table 1.1--Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income, Tax Year 2005",,,,,,,,,, ,,,,,,,,,,
(All figures are estimates based on samples--money amounts are in thousands of dollars except as indicated),,,,,,,,,, ,,,,,,,,,,
,All returns,,,,,Taxable returns,,,,,,,,,,,,,,
Size and accumulated size,,,Adjusted gross,,,,,Adjusted gross,,Taxable income,,,Income tax after credits,,,Total income tax,,,,
of adjusted gross income,Number,Percent,income less deficit,,,Number,Percent,income less deficit,,Number of,Amount,Percentage of,Number of,Amount,Percentage of,Amount,Percentage of,,,Average
,of returns,of total,Amount,Percent,Average,of returns,of total,Amount,Percent,returns,,total,returns,,total,,Total,Taxable,Adjusted gross,income tax
,,,,of total,(dollars),,,,of total,,,,,,,,,income,income less deficit,(dollars)
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20)
Size of Adjusted Gross Income,,,,,,,,,,,,,,,,,,,,
Total*.,"134,372,678",100.0,"7,422,495,664",100.0,"55,238","90,593,081",100.0,"6,856,723,096",100.0,"90,570,564","5,023,778,024",100.0,"90,593,079","934,835,345",100.0,"934,835,769",100.0,18.6,13.6,"10,319"
No adjusted gross income*.,"1,761,041",1.3,"-85,463,023",[1],"-48,530","4,882",[2],"-6,680,199",[1],0,0,[1],"4,882","133,370",[2],"133,370",[2],[1],[1],"27,319"
"$1 under $5,000*.","11,476,416",8.5,"30,196,720",0.4,"2,631","813,194",0.9,"2,089,538",[2],"812,820","831,616",[2],"813,194","72,794",[2],"72,794",[2],8.8,3.5,90
"$5,000 under $10,000*.","12,114,237",9.0,"90,568,218",1.2,"7,476","3,710,338",4.1,"28,358,318",0.4,"3,709,277","7,015,578",0.1,"3,710,338","673,689",0.1,"673,689",0.1,9.6,2.4,182
"$10,000 under $15,000*.","11,635,684",8.7,"145,219,763",2.0,"12,481","5,752,739",6.4,"71,728,138",1.0,"5,752,706","25,313,406",0.5,"5,752,739","2,418,513",0.3,"2,418,513",0.3,9.6,3.4,420
"$15,000 under $20,000*.","11,126,599",8.3,"194,302,122",2.6,"17,463","5,988,458",6.6,"105,047,337",1.5,"5,988,431","47,482,696",0.9,"5,988,458","4,967,119",0.5,"4,967,119",0.5,10.5,4.7,829
"$20,000 under $25,000*.","9,784,167",7.3,"219,347,656",3.0,"22,419","5,886,278",6.5,"132,098,628",1.9,"5,886,223","68,097,481",1.4,"5,886,278","7,663,320",0.8,"7,663,320",0.8,11.3,5.8,"1,302"
"$25,000 under $30,000*.","8,738,107",6.5,"239,954,732",3.2,"27,461","5,858,233",6.5,"161,375,547",2.4,"5,858,185","93,313,615",1.9,"5,858,233","10,707,197",1.1,"10,707,197",1.1,11.5,6.6,"1,828"
"$30,000 under $40,000*.","13,940,405",10.4,"483,976,301",6.5,"34,718","11,106,472",12.3,"386,912,319",5.6,"11,106,368","236,966,822",4.7,"11,106,472","27,284,639",2.9,"27,284,639",2.9,11.5,7.1,"2,457"
"$40,000 under $50,000*.","10,618,506",7.9,"475,518,617",6.4,"44,782","9,325,210",10.3,"418,057,613",6.1,"9,324,900","267,742,679",5.3,"9,325,210","32,877,218",3.5,"32,877,218",3.5,12.3,7.9,"3,526"
"$50,000 under $75,000*.","18,351,037",13.7,"1,127,666,344",15.2,"61,450","17,491,819",19.3,"1,077,176,944",15.7,"17,489,662","715,392,720",14.2,"17,491,819","92,824,047",9.9,"92,824,047",9.9,13.0,8.6,"5,307"
"$75,000 under $100,000*.","10,449,989",7.8,"900,479,217",12.1,"86,170","10,329,339",11.4,"890,290,583",13.0,"10,325,226","619,386,318",12.3,"10,329,339","85,986,423",9.2,"85,986,486",9.2,13.9,9.7,"8,324"
"$100,000 under $200,000*.","10,810,367",8.0,"1,430,580,576",19.3,"132,334","10,767,383",11.9,"1,425,107,929",20.8,"10,760,740","1,053,604,785",21.0,"10,767,383","189,468,358",20.3,"189,468,358",20.3,18.0,13.3,"17,597"
"$200,000 under $500,000*.","2,737,802",2.0,"788,882,363",10.6,"288,144","2,732,229",3.0,"787,268,561",11.5,"2,730,413","656,545,274",13.1,"2,732,229","159,395,393",17.1,"159,395,393",17.1,24.3,20.2,"58,339"
"$500,000 under $1,000,000*.","524,506",0.4,"355,220,796",4.8,"677,248","523,401",0.6,"354,470,899",5.2,"522,787","313,129,523",6.2,"523,400","84,700,059",9.1,"84,700,059",9.1,27.0,23.9,"161,826"
"$1,000,000 under $1,500,000*.","127,925",0.1,"154,799,533",2.1,"1,210,080","127,627",0.1,"154,441,949",2.3,"127,538","138,196,850",2.8,"127,627","38,052,580",4.1,"38,052,580",4.1,27.5,24.6,"298,155"
"$1,500,000 under $2,000,000*.","56,615",[2],"97,512,430",1.3,"1,722,378","56,495",0.1,"97,304,198",1.4,"56,449","87,728,850",1.7,"56,495","23,941,620",2.6,"23,941,620",2.6,27.3,24.6,"423,783"
"$2,000,000 under $5,000,000*.","84,070",0.1,"250,611,839",3.4,"2,980,990","83,865",0.1,"249,968,692",3.6,"83,770","226,189,457",4.5,"83,865","60,871,399",6.5,"60,871,637",6.5,26.9,24.4,"725,829"
"$5,000,000 under $10,000,000*.","21,431",[2],"146,846,621",2.0,"6,852,066","21,378",[2],"146,474,725",2.1,"21,352","132,744,670",2.6,"21,377","34,528,949",3.7,"34,529,011",3.7,26.0,23.6,"1,615,166"
"$10,000,000 or more*.","13,776",[2],"376,274,843",5.1,"27,313,795","13,741",[2],"375,231,378",5.5,"13,719","334,095,685",6.7,"13,741","78,268,656",8.4,"78,268,719",8.4,23.4,20.9,"5,695,999"
Accumulated from Smallest Size of Adjusted Gross Income,,,,,,,,,,,,,,,,,,,,
No adjusted gross income*.,"1,761,041",1.3,"-85,463,023",[1],"-48,530","4,882",[2],"-6,680,199",[1],0,0,[1],"4,882","133,370",[2],"133,370",[2],[1],[1],"27,319"
"$1 under $5,000*.","11,476,416",8.5,"30,196,719",0.4,"2,631","813,194",0.9,"2,089,538",[2],"812,819","831,614",[2],"813,194","72,795",[2],"72,795",[2],8.8,3.5,90
"$1 under $10,000*.","23,590,651",17.6,"120,764,937",1.6,"5,119","4,523,532",5.0,"30,447,856",0.4,"4,522,097","7,847,192",0.2,"4,523,532","746,484",0.1,"746,484",0.1,9.5,2.5,165
"$1 under $15,000*.","35,226,335",26.2,"265,984,700",3.6,"7,551","10,276,272",11.3,"102,175,993",1.5,"10,274,802","33,160,599",0.7,"10,276,272","3,164,998",0.3,"3,164,998",0.3,9.5,3.1,308
"$1 under $20,000*.","46,352,934",34.5,"460,286,821",6.2,"9,930","16,264,729",18.0,"207,223,330",3.0,"16,263,234","80,643,296",1.6,"16,264,729","8,132,117",0.9,"8,132,117",0.9,10.1,3.9,500
"$1 under $25,000*.","56,137,101",41.8,"679,634,478",9.2,"12,107","22,151,007",24.5,"339,321,958",4.9,"22,149,456","148,740,777",3.0,"22,151,007","15,795,437",1.7,"15,795,437",1.7,10.6,4.7,713
"$1 under $30,000*.","64,875,208",48.3,"919,589,209",12.4,"14,175","28,009,240",30.9,"500,697,505",7.3,"28,007,641","242,054,392",4.8,"28,009,240","26,502,634",2.8,"26,502,634",2.8,10.9,5.3,946
"$1 under $40,000*.","78,815,613",58.7,"1,403,565,510",18.9,"17,808","39,115,712",43.2,"887,609,825",12.9,"39,114,008","479,021,214",9.5,"39,115,712","53,787,273",5.8,"53,787,273",5.8,11.2,6.1,"1,375"
"$1 under $50,000*.","89,434,119",66.6,"1,879,084,127",25.3,"21,011","48,440,922",53.5,"1,305,667,437",19.0,"48,438,909","746,763,894",14.9,"48,440,922","86,664,491",9.3,"86,664,491",9.3,11.6,6.6,"1,789"
"$1 under $75,000*.","107,785,156",80.2,"3,006,750,471",40.5,"27,896","65,932,741",72.8,"2,382,844,381",34.8,"65,928,570","1,462,156,613",29.1,"65,932,741","179,488,538",19.2,"179,488,538",19.2,12.3,7.5,"2,722"
"$1 under $100,000*.","118,235,145",88.0,"3,907,229,687",52.6,"33,046","76,262,080",84.2,"3,273,134,964",47.7,"76,253,797","2,081,542,931",41.4,"76,262,080","265,474,961",28.4,"265,475,023",28.4,12.8,8.1,"3,481"
"$1 under $200,000*.","129,045,512",96.0,"5,337,810,263",71.9,"41,364","87,029,463",96.1,"4,698,242,893",68.5,"87,014,536","3,135,147,716",62.4,"87,029,463","454,943,319",48.7,"454,943,382",48.7,14.5,9.7,"5,227"
"$1 under $500,000*.","131,783,314",98.1,"6,126,692,626",82.5,"46,491","89,761,693",99.1,"5,485,511,454",80.0,"89,744,949","3,791,692,990",75.5,"89,761,693","614,338,712",65.7,"614,338,774",65.7,16.2,11.2,"6,844"
"$1 under $1,000,000*.","132,307,820",98.5,"6,481,913,421",87.3,"48,991","90,285,094",99.7,"5,839,982,353",85.2,"90,267,736","4,104,822,513",81.7,"90,285,093","699,038,770",74.8,"699,038,833",74.8,17.0,12.0,"7,743"
"$1 under $1,500,000*.","132,435,745",98.6,"6,636,712,955",89.4,"50,113","90,412,720",99.8,"5,994,424,302",87.4,"90,395,274","4,243,019,363",84.5,"90,412,719","737,091,350",78.8,"737,091,413",78.8,17.4,12.3,"8,153"
"$1 under $2,000,000*.","132,492,360",98.6,"6,734,225,385",90.7,"50,827","90,469,215",99.9,"6,091,728,500",88.8,"90,451,723","4,330,748,213",86.2,"90,469,214","761,032,970",81.4,"761,033,033",81.4,17.6,12.5,"8,412"
"$1 under $5,000,000*.","132,576,430",98.7,"6,984,837,223",94.1,"52,685","90,553,080",100.0,"6,341,697,192",92.5,"90,535,493","4,556,937,670",90.7,"90,553,079","821,904,369",87.9,"821,904,670",87.9,18.0,13.0,"9,076"
"$1 under $10,000,000*.","132,597,861",98.7,"7,131,683,844",96.1,"53,784","90,574,458",100.0,"6,488,171,917",94.6,"90,556,845","4,689,682,339",93.3,"90,574,456","856,433,318",91.6,"856,433,680",91.6,18.3,13.2,"9,456"
$1 or more*.,"132,611,637",98.7,"7,507,958,686",101.2,"56,616","90,588,199",100.0,"6,863,403,295",100.1,"90,570,564","5,023,778,024",100.0,"90,588,197","934,701,975",100.0,"934,702,399",100.0,18.6,13.6,"10,318"
All returns*.,"134,372,678",100.0,"7,422,495,664",100.0,"55,238","90,593,081",100.0,"6,856,723,096",100.0,"90,570,564","5,023,778,024",100.0,"90,593,079","934,835,345",100.0,"934,835,769",100.0,18.6,13.6,"10,319"
Accumulated from Largest Size of Adjusted Gross Income,,,,,,,,,,,,,,,,,,,,
"$10,000,000 or more*.","13,776",[2],"376,274,843",5.1,"27,313,795","13,741",[2],"375,231,378",5.5,"13,719","334,095,685",6.7,"13,741","78,268,656",8.4,"78,268,719",8.4,23.4,20.9,"5,695,999"
"$5,000,000 or more*.","35,207",[2],"523,121,463",7.0,"14,858,450","35,119",[2],"521,706,103",7.6,"35,071","466,840,355",9.3,"35,118","112,797,605",12.1,"112,797,730",12.1,24.2,21.6,"3,211,872"
"$2,000,000 or more*.","119,277",0.1,"773,733,302",10.4,"6,486,861","118,984",0.1,"771,674,795",11.3,"118,841","693,029,812",13.8,"118,983","173,669,005",18.6,"173,669,366",18.6,25.1,22.5,"1,459,603"
"$1,500,000 or more*.","175,892",0.1,"871,245,732",11.7,"4,953,299","175,479",0.2,"868,978,993",12.7,"175,290","780,758,662",15.5,"175,478","197,610,624",21.1,"197,610,986",21.1,25.3,22.7,"1,126,123"
"$1,000,000 or more*.","303,817",0.2,"1,026,045,265",13.8,"3,377,182","303,106",0.3,"1,023,420,942",14.9,"302,828","918,955,511",18.3,"303,105","235,663,204",25.2,"235,663,566",25.2,25.6,23.0,"777,496"
"$500,000 or more*.","828,323",0.6,"1,381,266,061",18.6,"1,667,545","826,507",0.9,"1,377,891,841",20.1,"825,615","1,232,085,035",24.5,"826,505","320,363,263",34.3,"320,363,625",34.3,26.0,23.3,"387,612"
"$200,000 or more*.","3,566,125",2.7,"2,170,148,423",29.2,"608,545","3,558,736",3.9,"2,165,160,402",31.6,"3,556,028","1,888,630,309",37.6,"3,558,734","479,758,656",51.3,"479,759,018",51.3,25.4,22.2,"134,812"
"$100,000 or more*.","14,376,492",10.7,"3,600,728,999",48.5,"250,460","14,326,119",15.8,"3,590,268,331",52.4,"14,316,768","2,942,235,094",58.6,"14,326,117","669,227,014",71.6,"669,227,376",71.6,22.7,18.6,"46,714"
"$75,000 or more*.","24,826,481",18.5,"4,501,208,216",60.6,"181,307","24,655,458",27.2,"4,480,558,914",65.3,"24,641,994","3,561,621,411",70.9,"24,655,456","755,213,437",80.8,"755,213,862",80.8,21.2,16.9,"30,631"
"$50,000 or more*.","43,177,518",32.1,"5,628,874,559",75.8,"130,366","42,147,278",46.5,"5,557,735,858",81.1,"42,131,656","4,277,014,131",85.1,"42,147,276","848,037,483",90.7,"848,037,908",90.7,19.8,15.3,"20,121"
"$40,000 or more*.","53,796,024",40.0,"6,104,393,176",82.2,"113,473","51,472,487",56.8,"5,975,793,470",87.2,"51,456,556","4,544,756,810",90.5,"51,472,485","880,914,702",94.2,"880,915,127",94.2,19.4,14.7,"17,114"
"$30,000 or more*.","67,736,429",50.4,"6,588,369,477",88.8,"97,265","62,578,959",69.1,"6,362,705,790",92.8,"62,562,924","4,781,723,632",95.2,"62,578,957","908,199,340",97.2,"908,199,765",97.2,19.0,14.3,"14,513"
"$25,000 or more*.","76,474,536",56.9,"6,828,324,209",92.0,"89,289","68,437,192",75.5,"6,524,081,337",95.1,"68,421,108","4,875,037,247",97.0,"68,437,190","918,906,538",98.3,"918,906,963",98.3,18.8,14.1,"13,427"
"$20,000 or more*.","86,258,703",64.2,"7,047,671,865",95.0,"81,704","74,323,470",82.0,"6,656,179,965",97.1,"74,307,331","4,943,134,728",98.4,"74,323,468","926,569,858",99.1,"926,570,283",99.1,18.7,13.9,"12,467"
"$15,000 or more*.","97,385,302",72.5,"7,241,973,987",97.6,"74,364","80,311,927",88.7,"6,761,227,302",98.6,"80,295,762","4,990,617,426",99.3,"80,311,925","931,536,977",99.6,"931,537,401",99.6,18.7,13.8,"11,599"
"$10,000 or more*.","109,020,986",81.1,"7,387,193,749",99.5,"67,759","86,064,667",95.0,"6,832,955,439",99.7,"86,048,468","5,015,930,832",99.8,"86,064,665","933,955,490",99.9,"933,955,915",99.9,18.6,13.7,"10,852"
"$5,000 or more*.","121,135,222",90.1,"7,477,761,968",100.7,"61,731","89,775,005",99.1,"6,861,313,757",100.1,"89,757,745","5,022,946,410",100.0,"89,775,003","934,629,179",100.0,"934,629,604",100.0,18.6,13.6,"10,411"
$1 or more*.,"132,611,637",98.7,"7,507,958,686",101.2,"56,616","90,588,199",100.0,"6,863,403,295",100.1,"90,570,564","5,023,778,024",100.0,"90,588,197","934,701,975",100.0,"934,702,399",100.0,18.6,13.6,"10,318"
All returns*.,"134,372,678",100.0,"7,422,495,664",100.0,"55,238","90,593,081",100.0,"6,856,723,096",100.0,"90,570,564","5,023,778,024",100.0,"90,593,079","934,835,345",100.0,"934,835,769",100.0,18.6,13.6,"10,319"
   [1] Percentage not computed.,,,,,,,,,,,,,,,,,,,,
