"Table 1.1  Selected Income and Tax Items, by Size and Accumulated Size of 
Adjusted Gross Income, Tax Year 2007",,,,,,,,,,,,,,,,,,,,
(All figures are estimates based on samples—money amounts are in thousands of dollars except as indicated),,,,,,,,,,,,,,,,,,,,
"Size and accumulated size
of adjusted gross income",All returns,,,,,Taxable returns,,,,,,,,,,,,,,
,"Number
of
returns [1]","Percent
of total","Adjusted gross
income less deficit",,,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,Taxable income,,,Income tax after credits,,,Total income tax,,,,
,,,,,,,,,,"Number of
returns",Amount,"Percent of
total","Number of
returns",Amount,"Percentage of
total",Amount,Percentage of,,,"Average
total income 
tax (dollars)"
,,,Amount,"Percent
of total","Average
(dollars)",,,Amount,"Percent
of total",,,,,,,,Total,"Taxable
income","Adjusted gross
income less deficit",
,,,,,,,,,,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20)
Size of Adjusted Gross Income,,,,,,,,,,,,,,,,,,,,
All returns,"142,978,806",100.0,"8,687,718,769",100.0,"60,762","96,272,958",100.0,"8,072,679,159",100.0,"96,251,167","5,943,007,322",100.0,"96,272,957","1,115,759,794",100.0,"1,115,760,374",100.0,18.8,13.8,"11,590"
No adjusted gross income,"1,907,836",1.3,"-110,781,565",[2],"-58,067","5,582",[3],"-5,853,132",[2],0,0,[2],"5,582","99,041",[3],"99,041",[3],[2],[2],"17,743"
"$1 under $5,000","11,930,752",8.3,"31,801,165",0.4,"2,665","926,371",1.0,"2,485,641",[3],"924,082","1,060,339",[3],"926,371","98,820",[3],"98,820",[3],9.3,4.0,107
"$5,000 under $10,000","12,114,741",8.5,"90,653,578",1.0,"7,483","3,283,042",3.4,"25,110,545",0.3,"3,281,904","6,390,911",0.1,"3,283,042","634,370",0.1,"634,370",0.1,9.9,2.5,193
"$10,000 under $15,000","11,914,564",8.3,"148,907,608",1.7,"12,498","5,762,743",6.0,"72,054,297",0.9,"5,762,489","23,530,605",0.4,"5,762,743","2,237,057",0.2,"2,237,057",0.2,9.5,3.1,388
"$15,000 under $20,000","11,061,903",7.7,"193,198,281",2.2,"17,465","5,701,605",5.9,"100,006,852",1.2,"5,701,458","45,204,603",0.8,"5,701,605","4,587,626",0.4,"4,587,626",0.4,10.1,4.6,805
"$20,000 under $25,000","9,963,693",7.0,"223,679,496",2.6,"22,449","5,849,507",6.1,"131,421,585",1.6,"5,849,414","66,342,902",1.1,"5,849,507","7,354,942",0.7,"7,354,942",0.7,11.1,5.6,"1,257"
"$25,000 under $30,000","9,005,338",6.3,"247,203,999",2.8,"27,451","5,743,893",6.0,"157,935,646",2.0,"5,743,882","89,963,476",1.5,"5,743,893","10,244,160",0.9,"10,244,160",0.9,11.4,6.5,"1,783"
"$30,000 under $40,000","14,740,806",10.3,"512,920,308",5.9,"34,796","11,472,967",11.9,"400,857,058",5.0,"11,472,916","243,049,449",4.1,"11,472,967","27,853,217",2.5,"27,853,217",2.5,11.5,6.9,"2,428"
"$40,000 under $50,000","11,150,798",7.8,"499,464,110",5.7,"44,792","9,740,232",10.1,"436,936,873",5.4,"9,739,355","277,980,017",4.7,"9,740,232","33,514,554",3.0,"33,514,554",3.0,12.1,7.7,"3,441"
