Bracket (LowerBound to UpperBound),,-6,-8,-11,-14,-18,-19,-20
LowerBound,UpperBound,NumReturns,GrossIncome,TaxableIncome,IncomeTax,PercentOfTaxableIncomePaid,PercentOfGrossIncomePaid,AverageTotalIncomeTax
0,0,3820,-5022618,0,85376,0.00,0.00,22350
1,4999,306587,830784,338359,40278,11.90,4.80,131
5000,9999,1899332,14394215,3721348,379851,10.20,2.60,200
10000,14999,2883906,37631534,12407258,848075,6.80,2.30,294
15000,19999,4868050,85257126,38082778,2516274,6.60,3.00,517
20000,24999,4639085,104534890,53814808,4669410,8.70,4.50,1007
25000,29999,4603763,126758904,70403722,6827564,9.70,5.40,1483
30000,39999,9589845,334967281,202334691,20151883,10.00,6.00,2101
40000,49999,8381017,375777732,238763777,25404274,10.60,6.80,3031
50000,74999,16449394,1015872390,669393075,77962073,11.60,7.70,4740
75000,99999,10987101,950450965,652794095,80492622,12.30,8.50,7326
100000,199999,13374553,1783386440,1299639179,212290589,16.30,11.90,15873
200000,499999,3178420,900644158,716372061,176322148,24.60,19.60,55475
500000,999999,489904,330211356,279531278,80458186,28.80,24.40,164233
1000000,1499999,107416,129322909,111233270,32755871,29.40,25.30,304944
1500000,1999999,44015,75707933,65463554,19393235,29.60,25.60,440605
2000000,4999999,61535,181799852,158056386,46943489,29.70,25.80,762877
5000000,9999999,14236,96926824,84462502,24617005,29.10,25.40,1729208
10000000,999999999,8211,238232237,204322325,53790072,26.30,22.60,6551008
