"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income, Tax Year 2018 (Filing Year 2019)",,,,,,,,,,,,,,,,,,,,
(All figures are estimates based on samples—money amounts are in thousands of dollars except as indicated),,,,,,,,,,,,,,,,,,,,
"Size and accumulated size
of adjusted gross income",All returns,,,,,Taxable returns,,,,,,,,,,,,,,
,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,Taxable income,,,Income tax after credits,,,Total income tax,,,,
,,,,,,,,,,"Number of
returns",Amount,"Percent of
total","Number of
returns",Amount,"Percent of
total",Amount,Percent of,,,"Average
total income 
tax (dollars)"
,,,Amount,"Percent
of total","Average
(dollars)",,,Amount,"Percent
of total",,,,,,,,Total,"Taxable
income","Adjusted gross
income less deficit",
,,,,,,,,,,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20)
Size of adjusted gross income,,,,,,,,,,,,,,,,,,,,
All returns,"153,774,296",100.0,"11,643,439,106",100.0,"75,718","100,424,240",100.0,"10,850,040,361",100.0,"100,414,509","8,641,495,369",100.0,"100,403,120","1,509,751,197",100.0,"1,538,749,447",100.0,17.8,14.2,"15,322"
No adjusted gross income,"1,962,253",1.3,"-201,976,721",[1],"-102,931","3,135",[2],"-13,927,298",[1],0,0,0.0,,,0.0,"138,630",[2],[1],[1],"44,220"
"$1 under $5,000","9,187,650",6.0,"23,842,449",0.2,"2,595","136,176",0.1,"420,675",[2],"134,612","185,958",[2]," 139,304"," 156,305",[2],"18,253",[2],9.8,4.3,134
"$5,000 under $10,000","10,014,109",6.5,"75,308,230",0.6,"7,520","177,974",0.2,"1,333,640",[2],"176,963","560,300",[2],"177,974","42,202",[2],"42,202",[2],7.5,3.2,237
"$10,000 under $15,000","11,454,274",7.4,"143,054,046",1.2,"12,489","2,559,412",2.5,"34,863,771",0.3,"2,559,403","4,420,629",0.1,"2,559,412","391,728",[2],"391,728",[2],8.9,1.1,153
"$15,000 under $20,000","10,187,149",6.6,"177,906,312",1.5,"17,464","4,978,342",5.0,"86,907,027",0.8,"4,978,263","25,840,759",0.3,"4,978,339","2,446,558",0.2,"2,446,560",0.2,9.5,2.8,491
"$20,000 under $25,000","9,610,628",6.2,"216,239,910",1.9,"22,500","5,131,634",5.1,"115,617,460",1.1,"5,131,633","51,173,484",0.6,"5,131,634","5,100,952",0.3,"5,100,952",0.3,10.0,4.4,994
"$25,000 under $30,000","8,984,412",5.8,"246,501,955",2.1,"27,437","5,365,983",5.3,"147,419,105",1.4,"5,365,977","72,672,614",0.8,"5,365,983","7,346,616",0.5,"7,346,616",0.5,10.1,5.0,"1,369"
"$30,000 under $40,000","15,510,580",10.1,"540,526,136",4.6,"34,849","10,585,229",10.5,"370,583,308",3.4,"10,585,163","214,408,669",2.5,"10,584,232","21,772,124",1.4,"21,772,498",1.4,10.2,5.9,"2,057"
